Component,A,B,C,D,E,F,G,Tl (K),Th(K),Phase
MgCl2,92.0488,0,0,0,,,,987.15,2500,liquid
H2O,-22.41701677,0.876972156,-2.57E-03,2.48E-06,,,,273.15,585,liquid
NH3,-473.8938,5.933276667,-2.15E-02,2.63E-05,,,,230,370,liquid
Urea,965.507,-5.0993,0.010028,-6.3799E-06,,,,405.85,564,liquid
Mg,34.3,0,0,0,,,,923,3000,liquid
MgCl2,-7.832500849,0.681539537,-2.44E-03,4.88E-06,-5.57E-09,3.39E-12,-8.52E-16,100,987,Solids
Mg3N2,92.95070549,0.056248577,-1.10E-04,2.48E-07,-3.12E-10,2.08E-13,-5.70E-17,298.15,823,Solids
Urea,17.25,0.2318,0.000079,0,0,0,0,80,400,Solids
N2,28.71677138,7.35E-03,-4.55E-05,1.16E-07,-1.22E-10,5.90E-14,-1.09E-17,150,1500,Gasses
O2,29.79023995,-9.49E-03,2.86E-05,9.87E-09,-5.67E-11,4.30E-14,-1.02E-17,150,1500,Gasses
HCl,27.91428448,4.10E-03,0,0,0,0,0,150,1500,Gasses
NH3,27.73966697,2.65E-02,0,0,0,0,0,150,1500,Gasses
Cl2,25.46755336,4.44E-02,-6.46E-05,3.69E-08,4.23E-12,-1.26E-14,3.56E-18,150,1500,Gasses
CO2,23.50610388,3.81E-02,7.40E-05,-2.23E-07,2.34E-10,-1.15E-13,2.17E-17,150,1500,Gasses
H2O,33.17438187,-3.25E-03,1.74E-05,-5.98E-09,0,0,0,150,1500,Gasses
