Component,A,B,C,D,E,n,,Tl (K),Th (K),Phase
MgCl2,223.7941498,2754.32,,,,0.38,,985.15,2754.32,liquid
H2O,54,6.47E+02,,,,0.34,,273.15,647.13,liquid
NH3,31.523,405.65,,,,0.34,,195.41,405.65,liquid
Urea,87.864,705,,,,0.38,,298.1,705,liquid
Mg,182.7568155,2241.04,,,,0.38,,923.15,2241.04,liquid
MgCl2,-644.0837126,6.34E-04,3.61E-05,-3.99E-08,1.61E-11,,,298.15,923,Solids
Mg3N2,-465.8395353,4.24E-02,-1.34E-04,1.75E-07,-8.12E-11,,,298.15,923,Solids
Urea,-319.6549825,-6.79E-02,5.44E-05,8.12E-08,-2.60E-11,,,298.15,400,Solids
N2,0,0,0,0,0,,,298.15,1500,Gasses
O2,0,0,0,0,0,,,298.15,1500,Gasses
HCl,-91.55940689,-2.26E-03,-1.31E-06,1.56E-09,-4.08E-13,,,298.15,1500,Gasses
NH3,-37.85468649,-3.16E-02,1.68E-05,-4.28E-09,8.74E-13,,,298.15,1500,Gasses
Cl2,0,0,0,0,0,,,298.15,1500,Gasses
CO2,-393.9723464,3.40E-03,-7.60E-06,4.53E-09,-9.80E-13,,,298.15,1500,Gasses
H2O,-238.5296439,-1.20E-02,3.32E-06,-3.43E-10,7.24E-14,,,298.15,1500,Gasses
